02-Feb-2018,14,34,36,39,48,2 ,3 ,"JDQQ05088,VDQW29418"                                                                                                              ,1082
30-Jan-2018,11,15,21,27,35,4 ,5 ,"JCQK21234,XCQG68771"                                                                                                              ,1081
26-Jan-2018,6 ,15,24,28,48,4 ,9 ,"MBPZ47938,TBPR42054"                                                                                                              ,1080
23-Jan-2018,5 ,8 ,9 ,23,24,7 ,8 ,"TZPM83516,ZZPN71238"                                                                                                              ,1079
19-Jan-2018,3 ,8 ,17,44,50,2 ,7 ,"VXPF51556,XXNX90620"                                                                                                              ,1078
16-Jan-2018,20,23,31,34,46,3 ,12,"MWNM60231,VVNC39933"                                                                                                              ,1077
12-Jan-2018,13,21,23,30,45,4 ,6 ,"JTMT96796,VVNH64227"                                                                                                              ,1076
09-Jan-2018,6 ,12,15,38,49,2 ,9 ,"TTMZ49073,XTNB55606"                                                                                                              ,1075
05-Jan-2018,2 ,5 ,20,38,41,4 ,8 ,"XRMF87622,XSMM33127"                                                                                                              ,1074
02-Jan-2018,10,20,21,28,48,1 ,8 ,"MNLJ97512,ZMKM24587"                                                                                                              ,1073
29-Dec-2017,4 ,8 ,22,23,48,1 ,12,"HQLS15049,HQLV41124,JQLT18628,JQLZ90793,JQMC68409,MMKP35545,MNLB10401,VPLL60998,VQLT87671,XPLM29525"                              ,1072
26-Dec-2017,4 ,17,30,43,44,2 ,10,"JKJN29125,TGHM18086"                                                                                                              ,1071
22-Dec-2017,5 ,24,30,31,43,3 ,6 ,"HNLD60532,XNLG75734"                                                                                                              ,1070
19-Dec-2017,8 ,15,30,38,46,4 ,7 ,"TMKS66915,XMKV63264"                                                                                                              ,1069
15-Dec-2017,25,30,31,42,50,2 ,11,"HLKH65365,TLKJ11596"                                                                                                              ,1068
12-Dec-2017,20,37,39,44,50,4 ,8 ,"JKJP88215,TKJS93359"                                                                                                              ,1067
08-Dec-2017,4 ,22,30,32,34,3 ,4 ,"MJJF88649,TJJK43370"                                                                                                              ,1066
05-Dec-2017,11,36,43,44,48,2 ,7 ,"XHHV05371,ZHHP74881"                                                                                                              ,1065
01-Dec-2017,5 ,24,29,35,46,11,12,"VGHC31876,ZGHH49649"                                                                                                              ,1064
28-Nov-2017,1 ,6 ,12,18,42,2 ,7 ,"JFGZ59473,VFGQ80020"                                                                                                              ,1063
24-Nov-2017,19,24,28,30,50,3 ,10,"TCGD18328,VDGN62853"                                                                                                              ,1062
21-Nov-2017,2 ,10,14,28,31,5 ,7 ,"JCGF78484,TCGF32633"                                                                                                              ,1061
17-Nov-2017,20,26,35,36,42,5 ,12,"JZFL48337,VBFS21652"                                                                                                              ,1060
14-Nov-2017,14,16,39,40,41,8 ,10,"TZFN99040,XZFK09195"                                                                                                              ,1059
10-Nov-2017,13,22,29,36,37,1 ,9 ,"JXFD48066,ZXFC97181"                                                                                                              ,1058
07-Nov-2017,7 ,19,20,37,41,2 ,12,"JWDT59821,JWDT84132"                                                                                                              ,1057
03-Nov-2017,5 ,12,17,33,41,4 ,9 ,"JTDG96679,XVDR88328"                                                                                                              ,1056
31-Oct-2017,1 ,12,36,43,46,3 ,5 ,"HTDH12804,HTDJ58091"                                                                                                              ,1055
27-Oct-2017,3 ,16,23,32,39,1 ,4 ,"HRCN28943,TSCZ36565"                                                                                                              ,1054
24-Oct-2017,9 ,11,13,27,33,7 ,10,"JRCP43323,MRCM21187"                                                                                                              ,1053
20-Oct-2017,4 ,17,23,27,30,3 ,8 ,"JPBV99811,TQCJ24824"                                                                                                              ,1052
17-Oct-2017,13,17,19,26,36,2 ,3 ,"HPBZ34077,ZNBG97918"                                                                                                              ,1051
13-Oct-2017,23,29,37,45,50,5 ,11,"HNBJ38847,HNBK33581,MNBM68831,TNBK94211,VNBL42137,VNBR72191,XNBH69511,XNBK26651,XNBQ80626,XNBS05984,ZMZZ63480,ZNBJ56702,ZNBM34204",1050
10-Oct-2017,4 ,21,34,36,37,3 ,6 ,"HMBG01161,TMBG01744"                                                                                                              ,1049
06-Oct-2017,1 ,9 ,15,19,25,1 ,7 ,"THVG82566,TLZM98884"                                                                                                              ,1048
